classe;control;produto;ano;litros
VINHO DE MESA;vm_Rosado;  Rosado;1996-01-01;13374874
VINHO DE MESA;vm_Rosado;  Rosado;1997-01-01;13550872
VINHO DE MESA;vm_Rosado;  Rosado;1998-01-01;12980172
VINHO DE MESA;vm_Rosado;  Rosado;1999-01-01;13221934
VINHO DE MESA;vm_Rosado;  Rosado;2000-01-01;9150927
VINHO DE MESA;vm_Rosado;  Rosado;2001-01-01;7283912
VINHO DE MESA;vm_Rosado;  Rosado;2002-01-01;8434812
VINHO DE MESA;vm_Rosado;  Rosado;2003-01-01;6945806
VINHO DE MESA;vm_Rosado;  Rosado;2004-01-01;5478618
VINHO DE MESA;vm_Rosado;  Rosado;2005-01-01;3562059
VINHO DE MESA;vm_Rosado;  Rosado;2006-01-01;3071382
VINHO DE MESA;vm_Rosado;  Rosado;2007-01-01;2252558
VINHO DE MESA;vm_Rosado;  Rosado;2008-01-01;1840779
VINHO DE MESA;vm_Rosado;  Rosado;2009-01-01;2307580
VINHO DE MESA;vm_Rosado;  Rosado;2010-01-01;2036928
VINHO DE MESA;vm_Rosado;  Rosado;2011-01-01;1668823
VINHO DE MESA;vm_Rosado;  Rosado;2012-01-01;1738134
VINHO DE MESA;vm_Rosado;  Rosado;2013-01-01;1777648
VINHO DE MESA;vm_Rosado;  Rosado;2014-01-01;1419855
VINHO DE MESA;vm_Rosado;  Rosado;2015-01-01;1409002
VINHO DE MESA;vm_Rosado;  Rosado;2016-01-01;1391942
VINHO DE MESA;vm_Rosado;  Rosado;2017-01-01;1097426
VINHO DE MESA;vm_Rosado;  Rosado;2018-01-01;1972944
VINHO DE MESA;vm_Rosado;  Rosado;2019-01-01;1265435
VINHO DE MESA;vm_Rosado;  Rosado;2020-01-01;1394901
VINHO DE MESA;vm_Rosado;  Rosado;2021-01-01;1931606
VINHO DE MESA;vm_Rosado;  Rosado;2022-01-01;2213723
VINHO DE MESA;vm_Branco;  Branco;1970-01-01;14919190
VINHO DE MESA;vm_Branco;  Branco;1971-01-01;15333888
VINHO DE MESA;vm_Branco;  Branco;1972-01-01;9438584
VINHO DE MESA;vm_Branco;  Branco;1973-01-01;9995546
VINHO DE MESA;vm_Branco;  Branco;1974-01-01;8114654
VINHO DE MESA;vm_Branco;  Branco;1975-01-01;9241925
VINHO DE MESA;vm_Branco;  Branco;1976-01-01;11083345
VINHO DE MESA;vm_Branco;  Branco;1977-01-01;9008044
VINHO DE MESA;vm_Branco;  Branco;1978-01-01;9477011
VINHO DE MESA;vm_Branco;  Branco;1979-01-01;11469152
VINHO DE MESA;vm_Branco;  Branco;1980-01-01;8432549
VINHO DE MESA;vm_Branco;  Branco;1981-01-01;13382221
VINHO DE MESA;vm_Branco;  Branco;1982-01-01;19116918
VINHO DE MESA;vm_Branco;  Branco;1983-01-01;19922653
VINHO DE MESA;vm_Branco;  Branco;1984-01-01;20645870
VINHO DE MESA;vm_Branco;  Branco;1985-01-01;22493355
VINHO DE MESA;vm_Branco;  Branco;1986-01-01;21228171
VINHO DE MESA;vm_Branco;  Branco;1987-01-01;13098681
VINHO DE MESA;vm_Branco;  Branco;1988-01-01;19248750
VINHO DE MESA;vm_Branco;  Branco;1989-01-01;21713862
VINHO DE MESA;vm_Branco;  Branco;1990-01-01;27353737
VINHO DE MESA;vm_Branco;  Branco;1991-01-01;32086250
VINHO DE MESA;vm_Branco;  Branco;1992-01-01;29217431
VINHO DE MESA;vm_Branco;  Branco;1993-01-01;30370209
VINHO DE MESA;vm_Branco;  Branco;1994-01-01;26339930
VINHO DE MESA;vm_Branco;  Branco;1995-01-01;25961507
VINHO DE MESA;vm_Branco;  Branco;1996-01-01;29907022
VINHO DE MESA;vm_Branco;  Branco;1997-01-01;33524608
VINHO DE MESA;vm_Branco;  Branco;1998-01-01;35117186
VINHO DE MESA;vm_Branco;  Branco;1999-01-01;36499378
VINHO DE MESA;vm_Branco;  Branco;2000-01-01;39688884
VINHO DE MESA;vm_Branco;  Branco;2001-01-01;37440616
VINHO DE MESA;vm_Branco;  Branco;2002-01-01;37738385
VINHO DE MESA;vm_Branco;  Branco;2003-01-01;30911825
VINHO DE MESA;vm_Branco;  Branco;2004-01-01;33307126
