classe;pais;ano;kg;valor
Espumantes;Argentina;1985-01-01;0;0
Espumantes;Argentina;1986-01-01;270;990
Espumantes;Argentina;1987-01-01;0;0
Espumantes;Argentina;1988-01-01;315;840
Espumantes;Argentina;1989-01-01;5176;15000
Espumantes;Argentina;1990-01-01;4500;20000
Espumantes;Argentina;1991-01-01;24889;83975
Espumantes;Argentina;1992-01-01;7020;18650
Espumantes;Argentina;1993-01-01;17205;63626
Espumantes;Argentina;1994-01-01;8270;32089
Espumantes;Argentina;1995-01-01;17382;68936
Espumantes;Argentina;1996-01-01;567;3110
Espumantes;Argentina;1997-01-01;11139;26864
Espumantes;Argentina;1998-01-01;85497;308165
Espumantes;Argentina;1999-01-01;86940;360596
Espumantes;Argentina;2000-01-01;114511;326156
Espumantes;Argentina;2001-01-01;32464;90851
Espumantes;Argentina;2002-01-01;17096;32807
Espumantes;Argentina;2003-01-01;143659;301329
Espumantes;Argentina;2004-01-01;1008169;2760067
Espumantes;Argentina;2005-01-01;1135922;2943342
Espumantes;Argentina;2006-01-01;1713270;4726606
Espumantes;Argentina;2007-01-01;556320;1441196
Espumantes;Argentina;2008-01-01;1015357;3094003
Espumantes;Argentina;2009-01-01;894550;2730102
Espumantes;Argentina;2010-01-01;1086901;3583463
Espumantes;Argentina;2011-01-01;997492;3818944
Espumantes;Argentina;2012-01-01;963574;3985004
Espumantes;Argentina;2013-01-01;702963;2545215
Espumantes;Argentina;2014-01-01;807366;3221463
Espumantes;Argentina;2015-01-01;490536;1814349
Espumantes;Argentina;2016-01-01;358510;1240249
Espumantes;Argentina;2017-01-01;661857;2249681
Espumantes;Argentina;2018-01-01;706478;2462909
Espumantes;Argentina;2019-01-01;757716;2282614
Espumantes;Australia;1971-01-01;0;0
Espumantes;Australia;1972-01-01;0;0
Espumantes;Australia;1973-01-01;0;0
Espumantes;Australia;1974-01-01;0;0
Espumantes;Australia;1975-01-01;0;0
Espumantes;Australia;1976-01-01;0;0
Espumantes;Australia;1977-01-01;0;0
Espumantes;Australia;1978-01-01;0;0
Espumantes;Australia;1979-01-01;0;0
Espumantes;Australia;1980-01-01;0;0
Espumantes;Australia;1981-01-01;0;0
Espumantes;Australia;1982-01-01;0;0
Espumantes;Australia;1983-01-01;0;0
Espumantes;Australia;1984-01-01;0;0
Espumantes;Australia;1985-01-01;0;0
Espumantes;Australia;1986-01-01;0;0
Espumantes;Australia;1987-01-01;0;0
Espumantes;Australia;1988-01-01;0;0
Espumantes;Australia;1989-01-01;0;0
Espumantes;Australia;1990-01-01;0;0
Espumantes;Australia;1991-01-01;0;0
Espumantes;Australia;1992-01-01;0;0
Espumantes;Australia;1993-01-01;0;0
Espumantes;Australia;1994-01-01;0;0
Espumantes;Australia;1995-01-01;0;0
Espumantes;Australia;1996-01-01;0;0
Espumantes;Australia;1997-01-01;0;0
Espumantes;Australia;1998-01-01;0;0
Espumantes;Australia;1999-01-01;0;0
Espumantes;Australia;2000-01-01;0;0
Espumantes;Australia;2001-01-01;0;0
Espumantes;Australia;2002-01-01;1136;7702
Espumantes;Australia;2003-01-01;0;0
Espumantes;Australia;2004-01-01;1310;6507
Espumantes;Australia;2005-01-01;1125;7594
Espumantes;Australia;2006-01-01;675;3248
Espumantes;Australia;2007-01-01;855;7491
Espumantes;Australia;2008-01-01;495;3343
Espumantes;Australia;2009-01-01;225;2108
Espumantes;Australia;2010-01-01;0;0
Espumantes;Australia;2011-01-01;45;174
Espumantes;Australia;2012-01-01;0;0
Espumantes;Australia;2013-01-01;30;419
Espumantes;Australia;2014-01-01;0;0
Espumantes;Australia;2015-01-01;4967;15439
Espumantes;Australia;2016-01-01;19182;32115
Espumantes;Australia;2017-01-01;19198;51731
Espumantes;Australia;2018-01-01;57917;212199
Espumantes;Australia;2019-01-01;16701;27592
Espumantes;Austria;1971-01-01;0;0
Espumantes;Austria;1972-01-01;0;0
Espumantes;Austria;1973-01-01;0;0
Espumantes;Austria;1974-01-01;0;0
Espumantes;Austria;1975-01-01;0;0
Espumantes;Austria;1976-01-01;0;0
Espumantes;Austria;1977-01-01;0;0
Espumantes;Austria;1978-01-01;0;0
Espumantes;Austria;1979-01-01;0;0
Espumantes;Austria;1980-01-01;0;0
Espumantes;Austria;1981-01-01;0;0
Espumantes;Austria;1982-01-01;0;0
Espumantes;Austria;1983-01-01;0;0
Espumantes;Austria;1984-01-01;0;0
Espumantes;Austria;1985-01-01;0;0
Espumantes;Austria;1986-01-01;0;0
Espumantes;Austria;1987-01-01;0;0
Espumantes;Austria;1988-01-01;0;0
Espumantes;Austria;1989-01-01;0;0
Espumantes;Austria;1990-01-01;0;0
Espumantes;Austria;1991-01-01;0;0
Espumantes;Austria;1992-01-01;0;0
Espumantes;Austria;1993-01-01;0;0
Espumantes;Austria;1994-01-01;0;0
Espumantes;Austria;1995-01-01;0;0
Espumantes;Austria;1996-01-01;0;0
Espumantes;Austria;1997-01-01;0;0
Espumantes;Austria;1998-01-01;0;0
Espumantes;Austria;1999-01-01;0;0
Espumantes;Austria;2000-01-01;0;0
Espumantes;Austria;2001-01-01;0;0
Espumantes;Austria;2002-01-01;0;0
Espumantes;Austria;2003-01-01;0;0
Espumantes;Austria;2004-01-01;0;0
Espumantes;Austria;2005-01-01;0;0
Espumantes;Austria;2006-01-01;0;0
Espumantes;Austria;2007-01-01;0;0
Espumantes;Austria;2008-01-01;756;6680
Espumantes;Austria;2009-01-01;0;0
Espumantes;Austria;2010-01-01;0;0
Espumantes;Austria;2011-01-01;0;0
Espumantes;Austria;2012-01-01;180;1139
Espumantes;Austria;2013-01-01;720;6050
Espumantes;Austria;2014-01-01;698;6352
Espumantes;Austria;2015-01-01;0;0
Espumantes;Austria;2016-01-01;0;0
Espumantes;Austria;2017-01-01;0;0
Espumantes;Austria;2018-01-01;1228;11638
Espumantes;Austria;2019-01-01;1269;11571
Espumantes;Bermudas;1971-01-01;0;0
Espumantes;Bermudas;1972-01-01;0;0
Espumantes;Bermudas;1973-01-01;0;0
Espumantes;Bermudas;1974-01-01;0;0
Espumantes;Bermudas;1975-01-01;0;0
Espumantes;Bermudas;1976-01-01;0;0
Espumantes;Bermudas;1977-01-01;0;0
Espumantes;Bermudas;1978-01-01;0;0
Espumantes;Bermudas;1979-01-01;0;0
Espumantes;Bermudas;1980-01-01;0;0
Espumantes;Bermudas;1981-01-01;0;0
Espumantes;Bermudas;1982-01-01;0;0
Espumantes;Bermudas;1983-01-01;0;0
Espumantes;Bermudas;1984-01-01;0;0
Espumantes;Bermudas;1985-01-01;0;0
Espumantes;Bermudas;1986-01-01;0;0
Espumantes;Bermudas;1987-01-01;0;0
Espumantes;Bermudas;1988-01-01;0;0
Espumantes;Bermudas;1989-01-01;0;0
Espumantes;Bermudas;1990-01-01;0;0
Espumantes;Bermudas;1991-01-01;0;0
Espumantes;Bermudas;1992-01-01;0;0
Espumantes;Bermudas;1993-01-01;0;0
Espumantes;Bermudas;1994-01-01;0;0
Espumantes;Bermudas;1995-01-01;0;0
Espumantes;Bermudas;1996-01-01;0;0
Espumantes;Bermudas;1997-01-01;0;0
